TableName,ColumnName,DataType,IsHidden,FormatString,Description
"ALUMNI_MASTER","RECREATION_20","String","False","",""
"ALUMNI_MASTER","REUNION_YR_1","Int64","False","0",""
"ALUMNI_MASTER","REUNION_YR_2","Int64","False","0",""
"ALUMNI_MASTER","REUNION_YR_3","Int64","False","0",""
"ALUMNI_MASTER","SOCIAL_INT_01","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_02","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_03","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_04","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_05","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_06","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_07","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_08","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_09","String","False","",""
"ALUMNI_MASTER","SOCIAL_INT_10","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_01","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_02","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_03","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_04","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_05","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_06","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_07","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_08","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_09","String","False","",""
"ALUMNI_MASTER","SPECIAL_INT_10","String","False","",""
"ALUMNI_MASTER","STOP_ALUM_MAIL","String","False","",""
"ALUMNI_MASTER","TRAVEL_01","String","False","",""
"ALUMNI_MASTER","TRAVEL_02","String","False","",""
"ALUMNI_MASTER","TRAVEL_03","String","False","",""
"ALUMNI_MASTER","TRAVEL_04","String","False","",""
"ALUMNI_MASTER","TRAVEL_05","String","False","",""
"ALUMNI_MASTER","TRAVEL_06","String","False","",""
"ALUMNI_MASTER","TRAVEL_07","String","False","",""
"ALUMNI_MASTER","TRAVEL_08","String","False","",""
"ALUMNI_MASTER","TRAVEL_09","String","False","",""
"ALUMNI_MASTER","TRAVEL_10","String","False","",""
"ALUMNI_MASTER","USER_DEF_10A_1","String","False","",""
"ALUMNI_MASTER","USER_DEF_11N_1","Int64","False","0",""
"ALUMNI_MASTER","USER_DEF_11N_2","Int64","False","0",""
"ALUMNI_MASTER","USER_DEF_1A_1","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_10","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_2","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_3","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_4","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_5","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_6","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_7","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_8","String","False","",""
"ALUMNI_MASTER","USER_DEF_1A_9","String","False","",""
"ALUMNI_MASTER","USER_DEF_2A_1","String","False","",""
"ALUMNI_MASTER","USER_DEF_2A_2","String","False","",""
"ALUMNI_MASTER","USER_DEF_2A_3","String","False","",""
"ALUMNI_MASTER","USER_DEF_2A_4","String","False","",""
"ALUMNI_MASTER","USER_DEF_2A_5","String","False","",""
"ALUMNI_MASTER","USER_DEF_3A_1","String","False","",""
"ALUMNI_MASTER","USER_DEF_3A_2","String","False","",""
"ALUMNI_MASTER","USER_DEF_3A_3","String","False","",""
"ALUMNI_MASTER","USER_DEF_5A_1","String","False","",""
"ALUMNI_MASTER","USER_DEF_5A_2","String","False","",""
"ALUMNI_MASTER","USER_DEF_DTE_1","String","False","",""
"ALUMNI_MASTER","USER_DEF_DTE_2","String","False","",""
"ALUMNI_MASTER","USER_DEF_DTE_3","String","False","",""
"ALUMNI_MASTER","USER_DEF_ID_1","String","False","",""
"ALUMNI_MASTER","USER_DEF_ID_2","String","False","",""
"ALUMNI_MASTER","USER_NAME","String","False","",""
"ALUMNI_MASTER","WORK_ADDR_CDE","String","False","",""
"CAMPAIGN","CAMP_CONTACT_ID_NUM","String","False","",""
"CAMPAIGN","CAMP_END_DATE","String","False","",""
"CAMPAIGN","CAMP_START_DATE","String","False","",""
"CAMPAIGN","CAMPAIGN_CDE","String","False","",""
"CAMPAIGN","CAMPAIGN_DESC","String","False","",""
"CAMPAIGN","CAMPAN_AMT_ACTUAL","Double","False","",""
"CAMPAIGN","CAMPAN_AMT_GOAL","Int64","False","0",""
"CAMPAIGN","CASH_GIFT_AMT","Double","False","",""
"CAMPAIGN","CASH_GIFT_NUM","Int64","False","0",""
"CAMPAIGN","DEFER_AMT","Int64","False","0",""
"CAMPAIGN","DEFER_NUM","Int64","False","0",""
"CAMPAIGN","DEFER_PMT_AMT","Int64","False","0",""
"CAMPAIGN","DEFER_PMT_NUM","Int64","False","0",""
"CAMPAIGN","DON_RESTR_AMT","Int64","False","0",""
"CAMPAIGN","DON_RESTR_NUM","Int64","False","0",""
"CAMPAIGN","EXPENSES_ACTUAL","Int64","False","0",""
"CAMPAIGN","EXPENSES_BUDGET","Int64","False","0",""
"CAMPAIGN","FIRST_GIFT_AMT","Double","False","",""
"CAMPAIGN","FIRST_GIFT_DTE","DateTime","False","General Date",""
"CAMPAIGN","GIFTS_AMT","Double","False","",""
"CAMPAIGN","GIFTS_NUM","Int64","False","0",""
"CAMPAIGN","JOB_NAME","String","False","",""
"CAMPAIGN","JOB_TIME","DateTime","False","General Date",""
"CAMPAIGN","LARGEST_GIFT_AMT","Double","False","",""
"CAMPAIGN","LARGEST_GIFT_DTE","DateTime","False","General Date",""
"CAMPAIGN","LAST_GIFT_AMT","Double","False","",""
"CAMPAIGN","LAST_GIFT_DTE","DateTime","False","General Date",""
"CAMPAIGN","MATCH_GIFT_AMT","Int64","False","0",""
"CAMPAIGN","MATCH_GIFT_NUM","Int64","False","0",""
"CAMPAIGN","MATCH_PMT_AMT","Int64","False","0",""
"CAMPAIGN","MATCH_PMT_NUM","Int64","False","0",""
"CAMPAIGN","NON_CASH_AMT","Double","False","",""
"CAMPAIGN","NON_CASH_NUM","Int64","False","0",""
"CAMPAIGN","ONLINE_GIVING_AVAIL","String","False","",""
"CAMPAIGN","ONLINE_GIVING_DESC","String","False","",""
"CAMPAIGN","ORG_RESTR_AMT","Int64","False","0",""
"CAMPAIGN","ORG_RESTR_NUM","Int64","False","0",""
"CAMPAIGN","PIECES_RET_ACTUAL","Int64","False","0",""
"CAMPAIGN","PIECES_RET_GOAL","Int64","False","0",""
"CAMPAIGN","PROMISE_AMT","Double","False","",""
"CAMPAIGN","PROMISE_NUM","Int64","False","0",""
"CAMPAIGN","PROMISE_PMT_AMT","Double","False","",""
"CAMPAIGN","PROMISE_PMT_NUM","Int64","False","0",""
"CAMPAIGN","SMALLEST_GIFT_AMT","Double","False","",""
"CAMPAIGN","SMALLEST_GIFT_DTE","DateTime","False","General Date",""
"CAMPAIGN","SOFT_CREDIT_AMT","Double","False","",""
"CAMPAIGN","SOFT_CREDIT_NUM","Int64","False","0",""
"CAMPAIGN","USER_NAME","String","False","",""
"DateTableTemplate_21f51927-0aec-4f8e-8ead-94385328eb31","Date","DateTime","True","General Date",""
"DateTableTemplate_21f51927-0aec-4f8e-8ead-94385328eb31","Day","Int64","True","0",""
"DateTableTemplate_21f51927-0aec-4f8e-8ead-94385328eb31","Month","String","True","",""
"DateTableTemplate_21f51927-0aec-4f8e-8ead-94385328eb31","MonthNo","Int64","True","0",""
"DateTableTemplate_21f51927-0aec-4f8e-8ead-94385328eb31","Quarter","String","True","",""
"DateTableTemplate_21f51927-0aec-4f8e-8ead-94385328eb31","QuarterNo","Int64","True","0",""
"DateTableTemplate_21f51927-0aec-4f8e-8ead-94385328eb31","Year","Int64","True","0",""
"DONOR_CAMP_SUM","CAMPAIGN_CDE","String","False","",""
"DONOR_CAMP_SUM","CASH_GIFT_AMT","Double","False","",""
"DONOR_CAMP_SUM","CASH_GIFT_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","DEFER_AMT","Int64","False","0",""
"DONOR_CAMP_SUM","DEFER_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","DEFER_PMT_AMT","Int64","False","0",""
"DONOR_CAMP_SUM","DEFER_PMT_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","DON_RESTR_AMT","Int64","False","0",""
"DONOR_CAMP_SUM","DON_RESTR_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","FIRST_GIFT_AMT","Double","False","",""
"DONOR_CAMP_SUM","FIRST_GIFT_DTE","DateTime","False","General Date",""
"DONOR_CAMP_SUM","GIFTS_AMT","Double","False","",""
"DONOR_CAMP_SUM","GIFTS_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","ID_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","JOB_NAME","String","False","",""
"DONOR_CAMP_SUM","JOB_TIME","DateTime","False","General Date",""
"DONOR_CAMP_SUM","LARGEST_GIFT_AMT","Double","False","",""
"DONOR_CAMP_SUM","LARGEST_GIFT_DTE","DateTime","False","General Date",""
"DONOR_CAMP_SUM","LAST_GIFT_AMT","Double","False","",""
"DONOR_CAMP_SUM","LAST_GIFT_DTE","DateTime","False","General Date",""
"DONOR_CAMP_SUM","MATCH_GIFT_AMT","Int64","False","0",""
"DONOR_CAMP_SUM","MATCH_GIFT_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","MATCH_PMT_AMT","Int64","False","0",""
"DONOR_CAMP_SUM","MATCH_PMT_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","NON_CASH_AMT","Double","False","",""
"DONOR_CAMP_SUM","NON_CASH_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","ORG_RESTR_AMT","Int64","False","0",""
"DONOR_CAMP_SUM","ORG_RESTR_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","PROMISE_AMT","Double","False","",""
"DONOR_CAMP_SUM","PROMISE_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","PROMISE_PMT_AMT","Double","False","",""
"DONOR_CAMP_SUM","PROMISE_PMT_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","SMALLEST_GIFT_AMT","Double","False","",""
"DONOR_CAMP_SUM","SMALLEST_GIFT_DTE","DateTime","False","General Date",""
"DONOR_CAMP_SUM","SOFT_CREDIT_AMT","Int64","False","0",""
"DONOR_CAMP_SUM","SOFT_CREDIT_NUM","Int64","False","0",""
"DONOR_CAMP_SUM","USER_NAME","String","False","",""
"DONOR_CAMP_SUM","YEAR_TYPE","String","False","",""
"DONOR_CAMP_SUM","YR_CDE","Int64","False","0",""
"DONOR_MASTER","ACTIVE_FLAG","String","False","",""
"DONOR_MASTER","ADDR_COD_WRK_FLD","String","False","",""
"DONOR_MASTER","ANON_DONOR_FLAG","String","False","",""
"DONOR_MASTER","AVG_GIFT_SIZE","Double","False","",""
"DONOR_MASTER","CASH_GIFT_AMT","Double","False","",""
"DONOR_MASTER","CASH_GIFT_NUM","Int64","False","0",""
"DONOR_MASTER","CAT_COMP_1","String","False","",""
"DONOR_MASTER","CAT_COMP_2","String","False","",""
"DONOR_MASTER","CURR_ADDR_CDE","String","False","",""
"DONOR_MASTER","DEFER_AMT","Int64","False","0",""
"DONOR_MASTER","DEFER_NUM","Int64","False","0",""
"DONOR_MASTER","DEFER_PMT_AMT","Int64","False","0",""
"DONOR_MASTER","DEFER_PMT_NUM","Int64","False","0",""
"DONOR_MASTER","DON_RESTR_AMT","Int64","False","0",""
"DONOR_MASTER","DON_RESTR_NUM","Int64","False","0",""
"DONOR_MASTER","DONOR_MAIL_CODE","String","False","",""
"DONOR_MASTER","DONOR_SELECT","String","False","",""
"DONOR_MASTER","ESTATE_PLAN_DOC","String","False","",""
"DONOR_MASTER","ESTATE_PLAN_FLR","String","False","",""
"DONOR_MASTER","FIRST_GIFT_AMT","Double","False","",""
"DONOR_MASTER","FIRST_GIFT_DTE","DateTime","False","General Date",""
"DONOR_MASTER","GIFTS_AMT","Double","False","",""
"DONOR_MASTER","GIFTS_NUM","Int64","False","0",""
"DONOR_MASTER","ID_NUM","Int64","False","0",""
"DONOR_MASTER","JOB_NAME","String","False","",""
